question,true_router,predicted_router,router_correct,ground_disciplines,predicted_disciplines,discipline_exact_match,discipline_correct_count,is_verified,verification_step,verification_note,response_time,context_tokens,answer_tokens,faithfulness,relevancy,correctness,faithfulness_rationale,relevancy_rationale,correctness_rationale,answer,error
Сколько часов лекций по дисциплине алгоритмы и структуры данных в питон?,single.simple,clarify,False,Алгоритмы и структуры данных в языке Python,,False,0,False,,,7.659,0,0,,,,,,,,
Сколько часов семинаров по предмету рекомендательные системы?,single.simple,single.simple,True,Рекомендательные системы и коллаборативная фильтрация,Рекомендательные системы и коллаборативная фильтрация,True,1,False,,,11.26,0,0,,,,,,,,
Какова общая трудоемкость курса обработка текстов на естественных языках?,single.simple,single.simple,True,Обработка текстов на естественных языках,Обработка текстов на естественных языках,True,1,False,,,11.412,0,0,,,,,,,,
Сколько тем содержится в курсе прикладной теории графов?,single.simple,clarify,False,Прикладная теория графов,,False,0,False,,,5.613,0,0,,,,,,,,
Какая форма промежуточной аттестации в курсе машинное зрение?,single.simple,single.simple,True,Машинное зрение,Машинное зрение,True,1,False,,,8.086,0,0,,,,,,,,
Какая форма промежуточной аттестации по дисциплине алгоритмы и структура данных в Python в 2 семестре?,single.simple,clarify,False,Алгоритмы и структуры данных в языке Python,,False,0,False,,,7.646,0,0,,,,,,,,
Какие компетенции формируются по предмету глубокое обучение?,single.simple,single.simple,True,Глубокое обучение,Глубокое обучение,True,1,False,,,5.392,0,0,,,,,,,,
Сколько часов самостоятельной работы выделяется на первые две темы дисциплины фундаментальные и генеративные модели?,single.simple,clarify,False,Фундаментальные и генеративные модели,,False,0,False,,,4.527,0,0,,,,,,,,
Сколько тем имеют по 6 часов семинаров в курсе семантические технологии?,single.simple,single.simple,True,Семантические технологии,Семантические технологии,True,1,False,,,10.783,0,0,,,,,,,,
Сколько тем в дисциплине технологии обработки данных?,single.simple,single.simple,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,5.971,0,0,,,,,,,,
Сколько всего часов самостоятельной работы в дисциплине технологии анализа сетевых моделей?,single.simple,clarify,False,Технологии и алгоритмы анализа сетевых моделей,,False,0,False,,,9.634,0,0,,,,,,,,
Сколько тем имеют по 6 часов семинаров в курсе машинное обучение в семантическом анализе?,single.simple,single.simple,True,Машинное обучение в семантическом и сетевом анализе,Машинное обучение в семантическом и сетевом анализе,True,1,False,,,12.823,0,0,,,,,,,,
Имеется ли тема о векторном представлении узлов графа в курсе прикладные задачи машинного обучения?,single.simple,clarify,False,Прикладные задачи машинного обучения,,False,0,False,,,6.696,0,0,,,,,,,,
Имеется ли тема о векторном представлении узлов графа в курсе машинное обучение в семантическом анализе?,single.simple,irrelevant,False,Машинное обучение в семантическом и сетевом анализе,,False,0,False,,,9.061,0,0,,,,,,,,
Что изучается в курсе Алгоритмы и структуры данных в языке Python?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,6.123,0,0,,,,,,,,
Какие инструменты и методы применяются в математическом и имитационном моделировании?,clarify,irrelevant,False,,,True,0,False,,,7.068,0,0,,,,,,,,
Какие вопросы для подготовки к экзамену после 1 семестра по курсу алгоритмы и структура данных в питоне?,single.global,irrelevant,False,Алгоритмы и структуры данных в языке Python,,False,0,False,,,8.777,0,0,,,,,,,,
Какие примерные вопросы для подготовки к контрольной работе по предмету алгоритмы и структура данных в Python для 1 семестра?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,7.688,0,0,,,,,,,,
Какие дополнительные учебные материалы и интернет-ресурсы рекомендуется использовать для успешного освоения дисциплины технологии обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,6.374,0,0,,,,,,,,
Перечисли все основные темы для изучения по курсу технологии обработки данных,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,9.346,0,0,,,,,,,,
Какие вопросы выносятся на самостоятельное изучение по дисциплине обработки данных?,single.global,clarify,False,Технологии обработки данных,,False,0,False,,,9.489,0,0,,,,,,,,
Какие основные вопросы включены в перечень подготовки к экзамену по курсу технологии обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,8.161,0,0,,,,,,,,
Какие основные вопросы включаются в перечень подготовки к контрольной работе по дисциплине «Глубокое обучение»?,single.global,single.global,True,Глубокое обучение,Глубокое обучение,True,1,False,,,5.672,0,0,,,,,,,,
Какие результаты обучения будут после курса семантических технологий?,single.global,single.simple,False,Семантические технологии,Семантические технологии,True,1,False,,,7.79,0,0,,,,,,,,
В чём заключаются ключевые различия в подходах к обработке данных в дисциплинах технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.relation,True,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,16.709,0,0,,,,,,,,
Какие общие темы и пересечения существуют между дисциплинами технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.relation,True,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,7.621,0,0,,,,,,,,
Какие пересечения существуют в вопросах для подготовки к экзамену по дисциплинам технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.relation,True,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,7.938,0,0,,,,,,,,
Как соотносятся и в чём различаются методы анализа текста в дисциплинах обработка текстов на естественных языках и семантические технологии?,multi.relation,multi.relation,True,Обработка текстов на естественных языках; Семантические технологии,Обработка текстов на естественных языках; Семантические технологии,True,2,False,,,8.327,0,0,,,,,,,,
Чем отличаются подходы к представлению знаний в предметах обработка текстов на естественных языках и семантические технологии?,multi.relation,irrelevant,False,Обработка текстов на естественных языках; Семантические технологии,,False,0,False,,,4.243,0,0,,,,,,,,
Какие методы извлечения информации из текста используются в курсах обработка текстов на естественных языках и семантические технологии и как они различаются?,multi.relation,multi.relation,True,Обработка текстов на естественных языках; Семантические технологии,Обработка текстов на естественных языках; Семантические технологии,True,2,False,,,8.007,0,0,,,,,,,,
В чём различие использования графов в дисциплинах прикладная теория графов и технологии и алгоритмы анализа сетевых моделей?,multi.relation,multi.relation,True,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,True,2,False,,,11.463,0,0,,,,,,,,
Как соотносятся задачи оптимизации на графах в дисциплинах прикладная теория графов и технологии анализа сетевых моделей?,multi.relation,irrelevant,False,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,,False,0,False,,,6.886,0,0,,,,,,,,
