question,true_router,predicted_router,router_correct,ground_disciplines,predicted_disciplines,discipline_exact_match,discipline_correct_count,is_verified,verification_step,verification_note,response_time,context_tokens,answer_tokens,faithfulness,relevancy,correctness,faithfulness_rationale,relevancy_rationale,correctness_rationale,answer,error
Сколько часов лекций по дисциплине алгоритмы и структуры данных в питон?,single.simple,single.simple,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,3.492,0,0,,,,,,,,
Сколько часов семинаров по предмету рекомендательные системы?,single.simple,single.simple,True,Рекомендательные системы и коллаборативная фильтрация,Рекомендательные системы и коллаборативная фильтрация,True,1,False,,,2.891,0,0,,,,,,,,
Какова общая трудоемкость курса обработка текстов на естественных языках?,single.simple,single.simple,True,Обработка текстов на естественных языках,Обработка текстов на естественных языках,True,1,False,,,7.868,0,0,,,,,,,,
Сколько тем содержится в курсе прикладной теории графов?,single.simple,single.simple,True,Прикладная теория графов,Прикладная теория графов,True,1,False,,,4.692,0,0,,,,,,,,
Какая форма промежуточной аттестации в курсе машинное зрение?,single.simple,single.simple,True,Машинное зрение,Машинное зрение,True,1,False,,,4.395,0,0,,,,,,,,
Какая форма промежуточной аттестации по дисциплине алгоритмы и структура данных в Python в 2 семестре?,single.simple,single.simple,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,12.204,0,0,,,,,,,,
Какие компетенции формируются по предмету глубокое обучение?,single.simple,single.simple,True,Глубокое обучение,Глубокое обучение,True,1,False,,,4.482,0,0,,,,,,,,
Сколько часов самостоятельной работы выделяется на первые две темы дисциплины фундаментальные и генеративные модели?,single.simple,single.simple,True,Фундаментальные и генеративные модели,Фундаментальные и генеративные модели,True,1,False,,,4.176,0,0,,,,,,,,
Сколько тем имеют по 6 часов семинаров в курсе семантические технологии?,single.simple,single.simple,True,Семантические технологии,Семантические технологии,True,1,False,,,3.224,0,0,,,,,,,,
Сколько тем в дисциплине технологии обработки данных?,single.simple,single.simple,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,3.085,0,0,,,,,,,,
Сколько всего часов самостоятельной работы в дисциплине технологии анализа сетевых моделей?,single.simple,single.simple,True,Технологии и алгоритмы анализа сетевых моделей,Технологии и алгоритмы анализа сетевых моделей,True,1,False,,,3.414,0,0,,,,,,,,
Сколько тем имеют по 6 часов семинаров в курсе машинное обучение в семантическом анализе?,single.simple,single.simple,True,Машинное обучение в семантическом и сетевом анализе,Машинное обучение в семантическом и сетевом анализе,True,1,False,,,3.406,0,0,,,,,,,,
Имеется ли тема о векторном представлении узлов графа в курсе прикладные задачи машинного обучения?,single.simple,single.simple,True,Прикладные задачи машинного обучения,Прикладные задачи машинного обучения,True,1,False,,,17.895,0,0,,,,,,,,
Имеется ли тема о векторном представлении узлов графа в курсе машинное обучение в семантическом анализе?,single.simple,clarify,False,Машинное обучение в семантическом и сетевом анализе,,False,0,False,,,3.354,0,0,,,,,,,,
Что изучается в курсе Алгоритмы и структуры данных в языке Python?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,6.781,0,0,,,,,,,,
Какие инструменты и методы применяются в математическом и имитационном моделировании?,clarify,clarify,True,,,True,0,False,,,1.137,0,0,,,,,,,,
Какие вопросы для подготовки к экзамену после 1 семестра по курсу алгоритмы и структура данных в питоне?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,3.19,0,0,,,,,,,,
Какие примерные вопросы для подготовки к контрольной работе по предмету алгоритмы и структура данных в Python для 1 семестра?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,3.678,0,0,,,,,,,,
Какие дополнительные учебные материалы и интернет-ресурсы рекомендуется использовать для успешного освоения дисциплины технологии обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,4.216,0,0,,,,,,,,
Перечисли все основные темы для изучения по курсу технологии обработки данных,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,10.064,0,0,,,,,,,,
Какие вопросы выносятся на самостоятельное изучение по дисциплине обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,3.075,0,0,,,,,,,,
Какие основные вопросы включены в перечень подготовки к экзамену по курсу технологии обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,2.935,0,0,,,,,,,,
Какие основные вопросы включаются в перечень подготовки к контрольной работе по дисциплине «Глубокое обучение»?,single.global,single.global,True,Глубокое обучение,Глубокое обучение,True,1,False,,,2.739,0,0,,,,,,,,
Какие результаты обучения будут после курса семантических технологий?,single.global,single.global,True,Семантические технологии,Семантические технологии,True,1,False,,,2.829,0,0,,,,,,,,
В чём заключаются ключевые различия в подходах к обработке данных в дисциплинах технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.relation,True,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,16.844,0,0,,,,,,,,
Какие общие темы и пересечения существуют между дисциплинами технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.relation,True,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,6.347,0,0,,,,,,,,
Какие пересечения существуют в вопросах для подготовки к экзамену по дисциплинам технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.relation,True,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,3.398,0,0,,,,,,,,
Как соотносятся и в чём различаются методы анализа текста в дисциплинах обработка текстов на естественных языках и семантические технологии?,multi.relation,multi.relation,True,Обработка текстов на естественных языках; Семантические технологии,Обработка текстов на естественных языках; Семантические технологии,True,2,False,,,4.753,0,0,,,,,,,,
Чем отличаются подходы к представлению знаний в предметах обработка текстов на естественных языках и семантические технологии?,multi.relation,multi.relation,True,Обработка текстов на естественных языках; Семантические технологии,Обработка текстов на естественных языках; Семантические технологии,True,2,False,,,6.711,0,0,,,,,,,,
Какие методы извлечения информации из текста используются в курсах обработка текстов на естественных языках и семантические технологии и как они различаются?,multi.relation,multi.relation,True,Обработка текстов на естественных языках; Семантические технологии,Обработка текстов на естественных языках; Семантические технологии,True,2,False,,,3.659,0,0,,,,,,,,
В чём различие использования графов в дисциплинах прикладная теория графов и технологии и алгоритмы анализа сетевых моделей?,multi.relation,multi.relation,True,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,True,2,False,,,11.71,0,0,,,,,,,,
Как соотносятся задачи оптимизации на графах в дисциплинах прикладная теория графов и технологии анализа сетевых моделей?,multi.relation,multi.relation,True,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,True,2,False,,,10.473,0,0,,,,,,,,
Как различается подход к изучению графов большой размерности и динамических графов в дисциплинах прикладная теория графов и технологии и алгоритмы сетевых моделей?,multi.relation,multi.relation,True,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,True,2,False,,,3.428,0,0,,,,,,,,
"Насколько пересекаются темы дисциплин глубокое обучение и машинное зрение, и являются ли они самостоятельными областями или одна из них является частью другой?",multi.relation,multi.compare,False,Глубокое обучение; Машинное зрение,Глубокое обучение; Машинное зрение,True,2,False,,,3.071,0,0,,,,,,,,
В каких темах наблюдается пересечение глубокого обучения и машинного зрения?,multi.relation,multi.global.semantic,False,Глубокое обучение; Машинное зрение,,False,0,False,,,3.766,0,0,,,,,,,,
"В какой степени пересекаются компетенции и индикаторы достижения результатов в предметах глубокое обучение и машинное зрение, если рассматривать их контрольные задания и формируемые навыки?",multi.relation,multi.relation,True,Глубокое обучение; Машинное зрение,Глубокое обучение; Машинное зрение,True,2,False,,,3.143,0,0,,,,,,,,
Какие дисциплины включают использование сверточных нейронных сетей и их архитектур?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,4.403,0,0,,,,,,,,
Какие дисциплины используют PyTorch или аналогичные фреймворки?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,4.393,0,0,,,,,,,,
"Какие дисциплины включают задачи классификации, детекции или сегментации объектов?",multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,4.527,0,0,,,,,,,,
В каких темах встречаются графовые модели и их применение в реальных системах?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,3.967,0,0,,,,,,,,
"В каких курсах рассматриваются генеративные модели (GAN, VAE или аналогичные архитектуры)?",multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,6.766,0,0,,,,,,,,
