question,true_router,predicted_router,router_correct,ground_disciplines,predicted_disciplines,discipline_exact_match,discipline_correct_count,is_verified,verification_step,verification_note,response_time,context_tokens,answer_tokens,faithfulness,relevancy,correctness,faithfulness_rationale,relevancy_rationale,correctness_rationale,answer,error
Сколько часов лекций по дисциплине алгоритмы и структуры данных в питон?,single.simple,irrelevant,False,Алгоритмы и структуры данных в языке Python,,False,0,False,,,16.963,0,0,,,,,,,,
Сколько часов семинаров по предмету рекомендательные системы?,single.simple,irrelevant,False,Рекомендательные системы и коллаборативная фильтрация,,False,0,False,,,7.998,0,0,,,,,,,,
Какова общая трудоемкость курса обработка текстов на естественных языках?,single.simple,irrelevant,False,Обработка текстов на естественных языках,,False,0,False,,,16.35,0,0,,,,,,,,
Сколько тем содержится в курсе прикладной теории графов?,single.simple,irrelevant,False,Прикладная теория графов,,False,0,False,,,14.722,0,0,,,,,,,,
Какая форма промежуточной аттестации в курсе машинное зрение?,single.simple,irrelevant,False,Машинное зрение,,False,0,False,,,21.802,0,0,,,,,,,,
Какая форма промежуточной аттестации по дисциплине алгоритмы и структура данных в Python в 2 семестре?,single.simple,irrelevant,False,Алгоритмы и структуры данных в языке Python,,False,0,False,,,14.853,0,0,,,,,,,,
Какие компетенции формируются по предмету глубокое обучение?,single.simple,irrelevant,False,Глубокое обучение,,False,0,False,,,22.412,0,0,,,,,,,,
Сколько часов самостоятельной работы выделяется на первые две темы дисциплины фундаментальные и генеративные модели?,single.simple,irrelevant,False,Фундаментальные и генеративные модели,,False,0,False,,,22.895,0,0,,,,,,,,
Сколько тем имеют по 6 часов семинаров в курсе семантические технологии?,single.simple,irrelevant,False,Семантические технологии,,False,0,False,,,14.977,0,0,,,,,,,,
Сколько тем в дисциплине технологии обработки данных?,single.simple,irrelevant,False,Технологии обработки данных,,False,0,False,,,11.074,0,0,,,,,,,,
Сколько всего часов самостоятельной работы в дисциплине технологии анализа сетевых моделей?,single.simple,irrelevant,False,Технологии и алгоритмы анализа сетевых моделей,,False,0,False,,,17.105,0,0,,,,,,,,
Сколько тем имеют по 6 часов семинаров в курсе машинное обучение в семантическом анализе?,single.simple,irrelevant,False,Машинное обучение в семантическом и сетевом анализе,,False,0,False,,,15.016,0,0,,,,,,,,
Имеется ли тема о векторном представлении узлов графа в курсе прикладные задачи машинного обучения?,single.simple,irrelevant,False,Прикладные задачи машинного обучения,,False,0,False,,,19.302,0,0,,,,,,,,
Имеется ли тема о векторном представлении узлов графа в курсе машинное обучение в семантическом анализе?,single.simple,irrelevant,False,Машинное обучение в семантическом и сетевом анализе,,False,0,False,,,14.583,0,0,,,,,,,,
