question,true_router,predicted_router,router_correct,ground_disciplines,predicted_disciplines,discipline_exact_match,discipline_correct_count,is_verified,verification_step,verification_note,response_time,context_tokens,answer_tokens,faithfulness,relevancy,correctness,faithfulness_rationale,relevancy_rationale,correctness_rationale,answer,error
Сколько часов лекций по дисциплине алгоритмы и структуры данных в питон?,single.simple,single.simple,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,8.236,0,0,,,,,,,,
Сколько часов семинаров по предмету рекомендательные системы?,single.simple,single.simple,True,Рекомендательные системы и коллаборативная фильтрация,Рекомендательные системы и коллаборативная фильтрация,True,1,False,,,8.804,0,0,,,,,,,,
Какова общая трудоемкость курса обработка текстов на естественных языках?,single.simple,single.simple,True,Обработка текстов на естественных языках,Обработка текстов на естественных языках,True,1,False,,,9.594,0,0,,,,,,,,
Сколько тем содержится в курсе прикладной теории графов?,single.simple,single.simple,True,Прикладная теория графов,Прикладная теория графов,True,1,False,,,8.154,0,0,,,,,,,,
Какая форма промежуточной аттестации в курсе машинное зрение?,single.simple,single.simple,True,Машинное зрение,Машинное зрение,True,1,False,,,8.586,0,0,,,,,,,,
Какая форма промежуточной аттестации по дисциплине алгоритмы и структура данных в Python в 2 семестре?,single.simple,single.simple,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,11.095,0,0,,,,,,,,
Какие компетенции формируются по предмету глубокое обучение?,single.simple,single.simple,True,Глубокое обучение,Глубокое обучение,True,1,False,,,8.477,0,0,,,,,,,,
Сколько часов самостоятельной работы выделяется на первые две темы дисциплины фундаментальные и генеративные модели?,single.simple,single.simple,True,Фундаментальные и генеративные модели,Фундаментальные и генеративные модели,True,1,False,,,10.863,0,0,,,,,,,,
Сколько тем имеют по 6 часов семинаров в курсе семантические технологии?,single.simple,single.simple,True,Семантические технологии,Семантические технологии,True,1,False,,,10.582,0,0,,,,,,,,
Сколько тем в дисциплине технологии обработки данных?,single.simple,single.simple,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,10.529,0,0,,,,,,,,
Сколько всего часов самостоятельной работы в дисциплине технологии анализа сетевых моделей?,single.simple,single.simple,True,Технологии и алгоритмы анализа сетевых моделей,Технологии и алгоритмы анализа сетевых моделей,True,1,False,,,11.283,0,0,,,,,,,,
Сколько тем имеют по 6 часов семинаров в курсе машинное обучение в семантическом анализе?,single.simple,single.simple,True,Машинное обучение в семантическом и сетевом анализе,Машинное обучение в семантическом и сетевом анализе,True,1,False,,,9.238,0,0,,,,,,,,
Имеется ли тема о векторном представлении узлов графа в курсе прикладные задачи машинного обучения?,single.simple,clarify,False,Прикладные задачи машинного обучения,,False,0,False,,,30.852,0,0,,,,,,,,
Имеется ли тема о векторном представлении узлов графа в курсе машинное обучение в семантическом анализе?,single.simple,single.simple,True,Машинное обучение в семантическом и сетевом анализе,Машинное обучение в семантическом и сетевом анализе,True,1,False,,,33.31,0,0,,,,,,,,
Что изучается в курсе Алгоритмы и структуры данных в языке Python?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,6.842,0,0,,,,,,,,
Какие инструменты и методы применяются в математическом и имитационном моделировании?,clarify,clarify,True,,Семантические технологии,False,0,False,,,22.469,0,0,,,,,,,,
Какие вопросы для подготовки к экзамену после 1 семестра по курсу алгоритмы и структура данных в питоне?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,13.847,0,0,,,,,,,,
Какие примерные вопросы для подготовки к контрольной работе по предмету алгоритмы и структура данных в Python для 1 семестра?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,11.74,0,0,,,,,,,,
Какие дополнительные учебные материалы и интернет-ресурсы рекомендуется использовать для успешного освоения дисциплины технологии обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,6.073,0,0,,,,,,,,
Перечисли все основные темы для изучения по курсу технологии обработки данных,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,13.453,0,0,,,,,,,,
Какие вопросы выносятся на самостоятельное изучение по дисциплине обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,14.419,0,0,,,,,,,,
Какие основные вопросы включены в перечень подготовки к экзамену по курсу технологии обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,10.101,0,0,,,,,,,,
Какие основные вопросы включаются в перечень подготовки к контрольной работе по дисциплине «Глубокое обучение»?,single.global,single.global,True,Глубокое обучение,Глубокое обучение,True,1,False,,,9.65,0,0,,,,,,,,
Какие результаты обучения будут после курса семантических технологий?,single.global,single.simple,False,Семантические технологии,Семантические технологии,True,1,False,,,18.865,0,0,,,,,,,,
В чём заключаются ключевые различия в подходах к обработке данных в дисциплинах технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.compare,False,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,14.822,0,0,,,,,,,,
Какие общие темы и пересечения существуют между дисциплинами технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.relation,True,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,12.044,0,0,,,,,,,,
